normalized_disease_name,synonym
cjd,disease: CJD
cjd,creutzfeldt jakob disease
cjd,creutzfeldt-jakob disease
cjd,subacute spongiform encephalopathy
cjd,neurocognitive disorder due to prion disease
cjd,spastic pseudosclerosis
lbd,disease: LBD
lbd,lewy body dementia
lbd,dlb
lbd,dementia with lewy bodies
msa,disease: MSA
msa,msa
msa,multiple system atrophy
msa,shy-drager syndrome
msa,d019578
hunt,disease: Hunt
hunt,huntingtons
hunt,huntington's
hunt,huntington's chorea
hunt,huntington disease
hunt,d006816
park,disease: Park
park,parkinson's disease
park,parkinsons
park,parkinson's
park,parkinsons disease
park,idiopathic parkinsonism
park,primary parkinsonism
park,idiopathic or primary parkinsonism
park,hypokinetic rigid syndrome
park,paralysis agitans
park,shaking palsy
park,d010300
park,parkinson disease
mulscl,disseminated sclerosis
mulscl,multiple cerebral sclerosis
mulscl,multiple cerebro-spinal sclerosis
mulscl,encephalomyelitis disseminata
mulscl,multiple sclerosis
mulscl,disease: MulScle
mulscl,d009103
mulscl,d020528
mulscl,d020529
cte,disease: CTE
cte,chronic traumatic encephalopathy
cte,dementia pugilistica
cte,punch drunk syndrome
cte,cte
cte,d000070627
vascdem,disease: VascDem
vascdem,vascular dementia
vascdem,dementia due to cerebrovascular disease
vascdem,vascular cognitive impairment
vascdem,d015140
als,als
als,disease: ALS
als,amyotrophic lateral sclerosis
als,motor neurone disease
als,mnd
als,lou gehrig's disease
als,lou gehrigs disease
als,charcots disease
als,charcot's disease
als,d000690
als,c565957
als,c565956
psp,disease: PSP
psp,progressive supranuclear palsy
psp,steele-richardson-olszewski syndrome
psp,steele richardson olszewski syndrome
psp,frontotemporal dementia with parkinsonism
psp,psp
ftd,disease: FTD
ftd,frontotemporal dementia
ftd,ftd
ftd,frontotemporal degeneration
ftd,frontal lobe dementia
ftd,pick's disease
ftd,picks disease
ftd,d057180
ftd,c566288
alzheimer's,alzheimers
alzheimer's,alzheimer's dementia
alzheimer's,disease: Alz
alzheimer's,d000544
alzheimer's,c536595
alzheimer's,c563834
alzheimer's,c536594
alzheimer's,c536596
alzheimer's,c536598
alzheimer's,c565325
alzheimer's,c566465
alzheimer's,c566578
alzheimer's,c564622
alzheimer's,c567463
alzheimer's,c565228
alzheimer's,c565251
alzheimer's,c567000
alzheimer's,c566999
alzheimer's,c567022
alzheimer's,c566998
alzheimer's,c536599
alzheimer's,c566299
alzheimer's,c564330
alzheimer's,c564329
alzheimer's,c565728
ncl,disease: NCL
ncl,ncl
ncl,neuronal ceroid lipofuscinosis
ncl,d009472
ncl,neuronal ceroid-lipofuscinoses
ncl,c537952
ncl,c575534
ncl,c566438
ncl,c537948
ncl,c563989
ncl,c537953
ncl,c566857
ncl,c564953
ncl,c566627
