NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02694445,Monetary Cost of Alzheimer's Disease in China,https://clinicaltrials.gov/study/NCT02694445,,COMPLETED,The purpose of the study is to estimate the Chinese economic burden in patients with Alzheimer's Disease (AD).,YES,Alzheimer's Disease,OTHER: observation,"The Annual National Total Socioeconomic Cost for All AD Patients in China, The annual national total socioeconomic cost for all patients with AD in China in 2015 was obtained, with the average annual cost per patient with AD from our results multiplied by the all number of patients with AD in 2015. So, the value reported in the data table below represents the total cost for all all participants in China., one year",,,Beijing Friendship Hospital,Chinese Medical Doctor Association,ALL,"ADULT, OLDER_ADULT",,3098,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,MAC-001,2015-10,2016-03,2016-05,2016-02-29,2020-05-12,2020-05-12,"Xuanwu Hospital, Capital Medical University, Beijing, Beijing Municipality, 100053, China",
NCT04563767,Feasibility - Infinitome,https://clinicaltrials.gov/study/NCT04563767,,COMPLETED,"The Infinitome Program from Omniscient has the ability to identify abnormal brain networks or connectomes using resting state functional MRI (rs-fMRI). This technology, which visualizes brain networks in three dimensions, was originally developed to ensure neurosurgeons avoid inadvertently lesioning cognitively eloquent brain regions during surgical operations. The potential of Infinitome in identifying connectome dysfunction for neurodegenerative diseases such as Alzheimer's disease has yet to be explored. This diagnostic technique may play a critical role for identifying disease brain networks that may benefit from targeted interventions in clinical trials.",YES,Alzheimer Disease,PROCEDURE: Infinitome,"Number of Participants Who Completed Rs-fMRI, Percent of subjects who complete the sequence of the fMRI protocol. Range: 0-100. Higher percentage indicates more completion., 4 months|Number of Subjects Whose Images Completed Analysis, Percent of subjects whose images were uploaded and analyzed by the Infinitome program. Range: 0-100. Higher percentage indicates more completion., 4 months",,,HealthPartners Institute,,ALL,"ADULT, OLDER_ADULT",,4,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,A20-199,2020-09-15,2020-10-13,2020-10-13,2020-09-24,2021-02-17,2021-02-17,"HealthPartners Neuroscience Center, Saint Paul, Minnesota, 55130, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/67/NCT04563767/Prot_SAP_000.pdf"
NCT03638323,Age-related Hearing Loss and Lexical Disorders,https://clinicaltrials.gov/study/NCT03638323,LOOP,COMPLETED,"In France, Alzheimer's disease accounts for 70 to 80% of the causes of neurocognitive disorders, i.e. 600,000 to 800,000 patients. It is a neurodegenerative pathology that causes evolutionary cognitive dysfunction, mainly affecting memory functions. The inability to name familiar objects (lack of the word) is one of the most commonly noted symptoms at an early stage of the disease.

Presbyacusis, or age-related hearing loss, is the most common sensory deficit in the elderly which is manifested socially by a progressive discomfort of verbal communication. Presbyacusis remains underdiagnosed and undertreated: 2/3 of the patients are not using hearing aid.

In recent years, a link between neurocognitive disorders and hearing loss has been shown by investigating general cognition. In this study, the investigators are investigating lexical disorders.",YES,Alzheimer Disease|Presbycusis|Lexical Syntactic Disorder,OTHER: Speech therapy,"Link Between Lack of Word and Presbycusis, The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items, score range from 0 to 42) and of verbs (28 items, score range from 0 to 28). The results are presented in a report including scores, description of qualitative errors, and results per item. A global score of less than 40 indicates a lack of words. The score range is between 0 and 70.

The hearing questionnaire consists in 14 questions about concrete situations and a direct question about what the patient thinks of his hearing. Answers are quoted 0, 2 or 4 points. An overall score greater than 14 indicates presbycusis., at inclusion","Association Between Age and Lack of Word, Age of patients and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Gender and Lack of Word, Male or female and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Study Level and Lack of Word, Primary (certificate study), secondary and tertiary study (baccalaureat and more) level and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Accommodation Type and Lack of Word, Patient living at home or in an institution and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Laterality and Lack of Word, Right or left handed patients and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Main Diagnosis and Lack of Word, Alzheimer's disease or related disease and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Hearing Aid and Lack of Word, Patients with or without hearing aid and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion|Association Between Speech Therapy and Lack of Word, Patients with or without ongoing speech therapy and score at the lack of word questionnaire (BIMM) The Batterie Informatisée du Manque du Mot (BIMM) is a computerized assessment instrument for denominational disorders. It provides information on level of lexical impairment, type of error (phonological, semantic, visual perceptual) and response time. It comprises two tests: denomination of nouns (42 items) and of verbs (28 items). The results are presented in a report including scores, description of qualitative errors, and results per item. An score less than 40 indicates lack of word., at inclusion",,Groupe Hospitalier de la Rochelle Ré Aunis,,ALL,OLDER_ADULT,,46,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2018/P08/256,2018-08-27,2019-01-31,2019-01-31,2018-08-20,2019-09-11,2019-12-05,"Groupe Hospitalier de la Rochelle Ré Aunis, La Rochelle, France","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/23/NCT03638323/Prot_SAP_000.pdf"
NCT05635370,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM)- Pentoxifylline Versus Cilostazol,https://clinicaltrials.gov/study/NCT05635370,,COMPLETED,This study aims to evaluate the comparative risk of dementia/Alzheimer's disease onset between patients treated with medications that target specific metabolic pathways and patients treated with alternative medications for the same indication.,YES,Peripheral Artery Disease,DRUG: Pentoxifylline|DRUG: Cilostazol,"Time to Dementia Onset, Time to dementia onset, i.e., Alzheimer's disease, vascular dementia, senile, presenile, or unspecified dementia, or dementia in other diseases classified elsewhere. Please refer to uploaded protocol for full definition due to size limitations., Median follow up times: 1) 180 days (exp), 170 days (ref) 2) 677 days (exp), 612 days (ref) 3) 211 days (exp), 173 days (ref) 4) 180 days (exp), 171 days (ref)",,,Brigham and Women's Hospital,National Institute on Aging (NIA)|Rutgers University|Johns Hopkins University,ALL,OLDER_ADULT,,10398,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019P003607-12,2022-11-01,2023-07-07,2023-12-31,2022-12-02,2025-08-11,2025-08-11,"Brigham and Women's Hospital, Boston, Massachusetts, 02120, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/70/NCT05635370/Prot_SAP_000.pdf"
NCT03134963,Cerebral Haemodynamic Changes During Cognitive Testing: A fTCD Study,https://clinicaltrials.gov/study/NCT03134963,,COMPLETED,"850,000 people live with dementia in the UK, with that number expected to rise to more than 1 million within the next 5 years. The most common type of dementia (55%) is Alzheimer's dementia, and vascular dementia is the second commonest type (15%). Mild cognitive impairment (MCI) affects up to 20% of older adults and describes a set of symptoms rather than a specific medical condition or disease. A person with MCI has subtle problems with one or more of the following: day-to-day memory, concentrating, planning or organising, language (eg struggling to find the right word), and judging distances and seeing objects properly. Although MCI significantly increases the risk of developing dementia (by up to 5 times), at present it is not possible to accurately predict which patients with MCI will progress to dementia. In recent times there has been an increasing awareness that problems with brain blood flow may contribute to the development, or progression, of dementia. Tests of mental abilities, with standardised questions and pen-and-paper tests are a key component of the formal diagnosis of dementia, yet little is known of the effects of these tests on brain blood flow. Brain blood flow can be can be assessed non-invasively by the use of Trans Cranial Doppler (TCD). This means using ultrasound probes over both sides of the head to measure changes in blood flow in one of the main brain arteries (the middle cerebral artery). This proposed study will therefore use TCD to evaluate changes in brain blood flow during performance of the Addenbrooke's-III (ACE-III) cognitive assessment in four key groups of patients, specifically:

1. Healthy older adults
2. Patients with mild cognitive impairment (MCI)
3. Patients with vascular dementia
4. Patients with Alzheimer's dementia",YES,Mild Cognitive Impairment|Alzheimer Disease|Vascular Dementia|Healthy Controls,OTHER: Transcranial doppler ultrasonography|OTHER: Blood pressure monitoring|OTHER: Heart rate monitoring|OTHER: End tidal CO2 monitoring|OTHER: Addenbrooke's cognitive examination,"Percentage of Recruited Subjects Able to Comply With the Protocol, The percentage of recruited subjects (HC, MCI patients, VascD patients and AlzD patients) able to comply with the full measurement protocol., 8 months","Number of Participants With Rejected Measurements, The percentage of measurements rejected because of aspects related to data quality during the analysis protocol, with recorded reasons, 8 months|Number of Participants in Which Percentage Change in CBFv Can be Derived, Overall, the percentage of recruited subjects (healthy controls, MCI patients, VascD patients and AlzD patients) in whom values for the following parameters can be derived:

• % change of CBFv at baseline in response to performance of the ACE-III Cognitive Examination, 8 months|Number of Participants in Which the Change in the Autoregulation Index (ARI) Can be Derived, Overall, the percentage of recruited subjects (healthy controls, MCI patients, VascD patients and AlzD patients) in whom values for the following parameters can be derived:

• Autoregulation index (using the Tiecks model and from the phase, gain and coherence)., 8 months",,University of Leicester,,ALL,"ADULT, OLDER_ADULT",,42,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,0613,2017-05-05,2017-12-01,2017-12-01,2017-05-01,2020-11-25,2021-10-05,"University Hospitals of Leicester NHS Trust, Leicester, Leicestershire, LE1 5WW, United Kingdom|Leicestershire Partnership Trust, Leicester, Leicestershire, United Kingdom","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/63/NCT03134963/Prot_SAP_000.pdf"
NCT02007291,Good Rate of Clinical Response to Cholinesterase Inhibitors in Alzheimer's Disease After Three Months of Treatment,https://clinicaltrials.gov/study/NCT02007291,NINDS-AIREN,COMPLETED,"Life expectancy in Brazil has increased markedly over the last 30 years. Hence, age-related disorders, such as Alzheimer's disease (AD), warrant special attention due to their high prevalence in the elderly. Pharmacologic treatment of AD is based on cholinesterase inhibitors (ChEI) and memantine, leading to modest clinical benefits both in the short and long-term.

However, clinical response is heterogeneous and needs further investigation. Objective: To investigate the rate of response to ChEI in AD after three months of treatment. Methods: Patients with mild or moderate dementia due to probable AD or to AD associated with cerebrovascular disease were included in the study.",YES,Late Onset Alzheimer,,"Cognitive Response After Three Months of Treatment With ChEI in Mild and Moderate Alzheimer's Disease, Patients presented mild or moderate dementia according to the Clinical Dementia Rating (CDR). None of the individuals had been treated with Cholinesterase inhibitors (ChEI) or memantine before study entry. Donepezil, galantamine or rivastigmine were prescribed to the patients according to the clinicians' preferences. All participants were evaluated by one board certified geriatrician (LFJRM) at baseline and after 3 months of treatment, as part of an ongoing 12-month responder analysis study of ChEI in Alzheimer's Disease. The main domain examined and the evaluation tools was cognition and Mini-Mental State Examination- MMSE, respectively. MMSE scores range from 0 to 30, while the greater value is associated with a better cognition state. An increase of 2 or more points in MMSE was considered as response., three months","Independence for Daily Activities Response After Three Months of Treatment With ChEI in Mild and Moderate Alzheimer's Disease, Patients presented mild or moderate dementia according to the Clinical Dementia Rating (CDR). None of the individuals had been treated with Cholinesterase inhibitors (ChEI) or memantine before study entry. Donepezil, galantamine or rivastigmine were prescribed to the patients according to the clinicians' preferences. All participants were evaluated by one board certified geriatrician (LFJRM) at baseline and after 3 months of treatment, as part of an ongoing 12-month responder analysis study of ChEI in AD. The secondary domain examined was independence for daily activities and the evaluation tools used was the brazilian version of the Pfeffer Functional Activities Questionnaire (PFAQ). PFAQ scale range from 0 to 30 points and the greater value is associated with a greater dependence in daily activities., three months",,Federal University of Minas Gerais,,ALL,"ADULT, OLDER_ADULT",,71,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,0172 / 2010,2009-06,2011-10,2013-03,2013-12-10,2018-06-12,2018-06-12,,
NCT05775991,COACH-Cog Intervention Adaptation Focus Groups,https://clinicaltrials.gov/study/NCT05775991,,COMPLETED,"To gather key stakeholder input for feedback on the adaption of the COACH GA intervention (i.e., develop COACH-Cog) to enhance triadic communication among oncologists, care partners and patients with ADRD.",YES,Focus Groups,,"Qualitative Analysis of Focus Group Audio-recording Transcripts. Open Coding Using Content Analysis Framework Will be Utilized to Assess Positive Regard for the Intervention and Potential Intervention Adaptations., Qualitative data gathered from participants during focus group participation. Focus groups will be audio-recorded and transcribed. Transcribed audio-recordings will be qualitatively analyzed for positive regard for the intervention and opportunities and recommendations for further intervention adaptation. Open coding using content analysis framework will be utilized for qualitative analysis., Through study completion approximately 3 months",,,University of Rochester,National Institute on Aging (NIA),ALL,"CHILD, ADULT, OLDER_ADULT",,18,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,UOCPC22008|R01AG077053,2023-03-15,2023-09-12,2023-09-12,2023-03-20,2024-12-11,2024-12-11,"University of Rochester Wilmot Cancer Institute, Rochester, New York, 14620, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/91/NCT05775991/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/91/NCT05775991/ICF_001.pdf"
NCT05039086,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM) - PDE5,https://clinicaltrials.gov/study/NCT05039086,,COMPLETED,This study aims to evaluate the comparative risk of dementia/Alzheimer's disease onset between patients treated with medications that target specific metabolic pathways and patients treated with alternative medications for the same indication.,YES,Pulmonary Arterial Hypertension,DRUG: PDE5 inhibitor|DRUG: Endothelin Receptor Antagonists,"Time to Dementia Onset, Time to dementia onset includes: Alzheimer's disease, vascular dementia, senile, presenile, or unspecified dementia, or dementia in other diseases classified elsewhere. Please refer to uploaded protocol for full definition.

Analysis 1-'as-treated' follow-up approach: In this approach, we followed patients from cohort entry until treatment discontinuation or switch to the comparator treatment, insurance disenrollment, death, or administrative endpoint (December 2018). Treatment discontinuation was defined as occurring 90 days after the expected days supply.

of the most recently filled prescription to accommodate suboptimal adherence during treatment periods.

Analysis 2-'as-started' follow-up approach incorporating a 6-month 'induction' period.

Analysis 3-incorporating a 6-month 'symptoms to diagnosis' period Analysis 4-high-specificity outcome definition

Study accessed Medicare files (Jan 2008-Dec 2018) between September 1, 2021 to October 4, 2022., Median follow up times: 1) 168 days (exp), 151 days (ref) 2) 693 days (exp), 720 days (ref) 3) 382 days (exp), 358 days (ref) 4) 169 days (exp), 151 days (ref)",,,Brigham and Women's Hospital,National Institute on Aging (NIA)|Rutgers University|Johns Hopkins University,ALL,OLDER_ADULT,,13021,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019A010961-8,2021-09-01,2021-09-30,2022-10-04,2021-09-09,2024-02-20,2025-08-06,"Brigham and Women's Hospital, Boston, Massachusetts, 02120, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/86/NCT05039086/Prot_SAP_001.pdf"
NCT05457855,Data Analysis for Drug Repurposing for Effective Alzheimer's Medicines (DREAM) - Montelukast vs Fluticasone,https://clinicaltrials.gov/study/NCT05457855,,COMPLETED,This study aims to evaluate the comparative risk of dementia/Alzheimer's disease onset between patients treated with medications that target specific metabolic pathways and patients treated with alternative medications for the same indication.,YES,Asthma,DRUG: Montelukast|DRUG: Fluticasone,"Time to Dementia Onset, Time to dementia onset, i.e., Alzheimer's disease, vascular dementia, senile, presenile, or unspecified dementia, or dementia in other diseases classified elsewhere. Please refer to uploaded protocol for full definition due to size limitations., Median follow up times: 1) 161 days (exp), 120 days (ref) 2) 504 days (exp), 638 days (ref) 3) 212 days (exp), 130 days (ref) 4) 162 days (exp), 120 days (ref)",,,Brigham and Women's Hospital,National Institute on Aging (NIA)|Rutgers University|Johns Hopkins University,ALL,OLDER_ADULT,,51533,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2019P003607-10,2022-02-01,2023-07-07,2023-12-31,2022-07-14,2025-08-11,2025-08-11,"Brigham and Women's Hospital, Boston, Massachusetts, 02120, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/55/NCT05457855/Prot_SAP_001.pdf"
NCT04773015,A Study to Evaluate the Effectiveness of VIZAMYL™ Reader Training Programme in Europe,https://clinicaltrials.gov/study/NCT04773015,,COMPLETED,This is a study to determine the effectiveness of the VIZAMYL™ reader training programme in clinical practice in Europe,YES,Cognitive Impairment,,"Accuracy of VIZAMYL™ PET Image Interpretations Made by Clinical Readers, Accuracy was estimated as 100 percent (%) \*(number of true positives \[TP\] + number of true negatives \[TN\]) / (number of TP + number of TN + number of false positives \[FP\] + number of false negatives \[FN\]). The data presented are the point estimates representing percentage of accuracy, with Measure Type ""Number"" and 95% exact binomial confidence interval. These have been estimated using Clopper-Pearson method., Up to 1093 days|Sensitivity of VIZAMYL™ PET Image Interpretations Made by Clinical Readers, Sensitivity was defined as 100%\*number of TP / (number of TP + number of FN). The data presented are the point estimates representing percentage sensitivity, with Measure Type ""Number"" and 95% exact binomial confidence interval. These have been estimated using Clopper-Pearson method., Up to 1093 days|Specificity of VIZAMYL™ PET Image Interpretations Made by Clinical Readers, Specificity was defined as 100%\*number of TN / (number of TN + number of FP). The data presented are the point estimates representing the percentage specificity, with Measure Type ""Number"" and 95% exact binomial confidence interval. These have been estimated using Clopper-Pearson method., Up to 1093 days|Positive Predictive Value (PPV) of VIZAMYL™ PET Image Interpretations Made by Clinical Readers, The PPV was defined as 100%\*number of TP / (number of TP + number of FP). The data presented are the point estimates representing percentage PPV, with Measure Type ""Number"" and 95% exact binomial confidence interval. These have been estimated using Clopper-Pearson method., Up to 1093 days|Negative Predictive Value (NPV) of VIZAMYL™ PET Image Interpretations Made by Clinical Readers, The NPV was defined as 100%\*number of TN/ (number of TN + number of FN). The data presented are the point estimates representing percentage NPV, with Measure Type ""Number"" and 95% exact binomial confidence interval. These have been estimated using Clopper-Pearson method., Up to 1093 days","Correlation Coefficient Between Clinical Reader Age and Accuracy, Correlation coefficient was used to assess the correlation between clinical reader age and accuracy. A scatterplot of clinical reader accuracy vs. reader age was plotted to check correlation (coefficient) between accuracy and age., Up to 1093 days|Number of Participants With Accuracy Less Than (<) 0.9333 or Greater Than Equal to (>=) 0.9333 in Terms of Sex of Clinical Readers, Number of participants with accuracy \< 0.9333 or \>= 0.9333 in terms of sex of clinical readers were reported., Up to 1093 days|Number of Participants With Association of Electronic Training (With or Without In-Person Training) With Clinical Reader Accuracy, Number of participants with association of electronic training (with or without In-person training) with clinical reader accuracy were reported., Up to 1093 days|Number of Participants With Association of In-Person Training (With or Without Electronic Training) With Clinical Reader Accuracy, Number of participants with association of In-person training (with or without electronic training) with clinical reader accuracy were reported., Up to 1093 days|Number of Participants With Association of Training Type With Clinical Reader Accuracy (Excluding Readers Who Took Both Types), Number of participants with association of training type with clinical reader accuracy (excluding readers who took both types) were reported., Up to 1093 days|Time From Last Training, Time from last training was reported. Number of readers remaining at timepoint was number of readers with accuracy greater than or equal to 0.9333. All readers met this criterion at time 0 hence, data for all clinical reader is reported. All 18 readers were trained in interpretation of Vizamyl images \& as part of their training, had their interpretation accuracy tested using 15 test images. To pass test, a reader had to interpret atleast 14 of 15 images correctly. 14 represents 0.9333 of 15, so each reader had to have an accuracy of atleast 0.9333 in order to pass test. Date on which a reader took his/her test is considered to be Time 0. Each reader's accuracy at a later time was assessed in study., Retrospective data covering up to 8.1 years",,GE Healthcare,ICON plc,ALL,"ADULT, OLDER_ADULT",,227,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,GE-067-027,2018-12-11,2021-12-07,2021-12-07,2021-02-26,2024-10-10,2024-10-10,"Kepler Universittsklinikum Neuromed Campus, Linz, Wagner-Jauregg-Weg, 4020, Austria|Landeskrankenhaus Vocklabruck, Vöcklabruck, 4840, Austria|Helsinki University Central Hospital, Helsinki, 00209, Finland|Ospedal Mons Dimicolli - Barletta, Barletta, 70051, Italy|U.O. Medicina Nucleare- ASSST Spedali Civili P.O. di Brescia, Brescia, 25123, Italy|Azienda Ospedaliero Universitaria Careggi - S.O.D. Patologia Medica, Florence, 50134, Italy|Catharina Ziekenhuis, Eindhoven, 5623, Netherlands|Vall d'Hebron University Hospital, Barcelona, 08035, Spain|Hospital Universitari de Bellvitge, Barcelona, 08907, Spain|Clinica Universidad de Navarra, Pamplona, 31008, Spain","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/15/NCT04773015/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/15/NCT04773015/SAP_001.pdf"
